id,name,sex,sexuality,birthyear,scholar,transfer,main_workplace,value,type
abloh,Virgil Abloh,2,2,1980,2,4,usa,2,1
armani,Giorgio Armani,2,3,1934,2,4,it,5,1
audigier,Christian Audigier,2,1,1958,1,4,usa,3,1
bailey,Christopher Bailey,2,2,1971,3,3,gb,2,1
blazy,Matthieu Blazy,2,2,1984,3,4,fr,999,1
burch,Tory Burch,1,1,1966,3,3,usa,5,1
chiuri,Maria Grazia Chiuri,1,1,1964,3,3,it,1,1
costa,Francisco Costa,2,2,1961,3,3,bra,2,1
dolce,Domenico Dolce,2,2,1958,2,2,it,5,1
gabbana,Stefano Gabbana,2,2,1962,2,2,it,5,1
gaultier,Jean P. Gaultier,2,2,1952,3,4,fr,3,1
herrera,Carolina Herrera,1,1,1939,2,2,ven,3,1
jette,Jette Joop,1,1,1968,2,2,de,1,1
lacroix,Christian Lacroix,2,1,1951,1,4,fr,1,1
lagerfeld,Karl Lagerfeld,2,2,1933,3,4,de,3,1
lauren ,Ralph Lauren,2,2,1939,1,3,usa,5,1
rousteing,Olivier Rousteing,2,2,1985,1,,fr,1,1
simons,Raf Simons,2,2,1968,3,4,usa,1,1
b,Balmain,999,999,999,999,999,999,1,2
bb,Brooks Brothers,999,999,999,999,999,999,1,2
ce,Celine,999,999,999,999,999,999,4,2
ck,CKlein,999,999,999,999,999,999,5,2
dkny,Donna Karan,999,999,999,999,999,999,4,2
f,Fendi,999,999,999,999,999,999,5,2
g,Gucci,999,999,999,999,999,999,5,2
gc,Giorgio Corregliani,999,999,999,999,999,999,,2
h,Hermes,999,999,999,999,999,999,5,2
ja,Jun Ashida,999,999,999,999,999,999,1,2
jp,Jean Patou,999,999,999,999,999,999,1,2
l,Levis,999,999,999,999,999,999,5,2
lv,Louis Vuitton,999,999,999,999,999,999,5,2
mm,Maison Margiela,999,999,999,999,999,999,1,2
n,Nino Cerutti,999,999,999,999,999,999,1,2
or,Ode la Renta,999,999,999,999,999,999,1,2
p,Pucci,999,999,999,999,999,999,1,2
pc,Pierre Cadin,999,999,999,999,999,999,4,2
rc,RCavalli,999,999,999,999,999,999,3,2
rl,RLauren,999,999,999,999,999,999,5,2
rs,Raf Simmons,999,999,999,999,999,999,1,2
u,Ungaro,999,999,999,999,999,999,1,2
va,Valentino,999,999,999,999,999,999,5,2
vb,Van Beirendonck,999,999,999,999,999,999,1,2
vw,VWang,999,999,999,999,999,999,4,2
z,Zegna,999,999,999,999,999,999,5,2
coppola,Sofia Coppola,1,999,999,999,999,999,999,3
